id,x,y
1,24749,50840
2,24759,51212
3,24828,51395
4,24905,51175
5,24997,51549
6,25010,51040
7,25031,51276
8,25068,51078
9,25100,51517
10,25104,51522
11,25122,51219
12,25151,51538
13,25159,51164
14,25163,51221
15,25168,51607
16,25169,51087
17,25174,51270
18,25211,51395
19,25212,51620
20,25215,50808
21,25215,51379
22,25224,51452
23,25225,51175
24,25234,51334
25,25235,51204
26,25236,51330
27,25236,51496
28,25243,51429
29,25244,51453
30,25253,51560
31,25254,51536
32,25254,51550
33,25257,51399
34,25264,51517
35,25266,51546
36,25267,50970
37,25267,51484
38,25271,51533
39,25271,51506
40,25271,51524
41,25276,51534
42,25278,51548
43,25279,51526
44,25279,51542
45,25280,51446
46,25282,51535
47,25282,51513
48,25284,51534
49,25284,51547
50,25285,51556
51,25287,51505
52,25287,51535
53,25287,51534
54,25288,51538
55,25289,51547
56,25291,51529
57,25292,51425
58,25293,51521
59,25299,51002
60,25301,51395
61,25307,51508
62,25312,51004
63,25314,50884
64,25316,51439
65,25317,50767
66,25321,51496
67,25323,51508
68,25326,51470
69,25327,51351
70,25338,51425
71,25340,51174
72,25341,51294
73,25342,51508
74,25359,51334
75,25364,51282
76,25369,51227
77,25375,51437
78,25378,51295
79,25397,51423
80,25400,51184
81,25400,51425
82,25405,51074
83,25417,51404
84,25417,51458
85,25420,50794
86,25430,50786
87,25434,51220
88,25441,51379
89,25445,50959
90,25452,50925
91,25460,51317
92,25470,51398
93,25479,51363
94,25481,50939
95,25484,51384
96,25491,51374
97,25493,51401
98,25495,50847
99,25495,50966
100,25498,51486
101,25501,50981
102,25511,51243
103,25532,51305
104,25534,50978
105,25539,51409
106,25546,51388
107,25550,51432
108,25550,51434
109,25561,51159
110,25567,51485
111,25568,50959
112,25575,51487
113,25586,51152
114,25610,51093
115,25611,51476
116,25623,51455
117,25646,51450
118,25650,51373
119,25667,51175
120,25684,51506
121,25687,51469
122,25697,51261
123,25701,51585
124,25709,51592
125,25717,51050
126,25718,51058
127,25724,51005
128,25735,51548
129,25752,51450
130,25752,50921
131,25759,51396
132,25766,51020
133,25773,51484
134,25776,51024
135,25780,51450
136,25794,51410
137,25809,51061
138,25817,51134
139,25824,51153
140,25827,51044
141,25830,51246
142,25834,51073
143,25840,51466
144,25848,51206
145,25850,51034
146,25857,51084
147,25858,51299
148,25858,51442
149,25867,51067
150,25868,51206
151,25872,51355
152,25873,51259
153,25881,51222
154,25884,51186
155,25889,51387
156,25900,51000
157,25905,51202
158,25929,51338
159,25938,51314
160,25945,51457
161,25950,51067
162,25952,51350
163,25958,51076
164,25959,51100
165,25967,51284
166,25984,51400
167,25984,51329
168,26001,51295
169,26009,51084
170,26017,51334
171,26022,51367
172,26034,51117
173,26034,51167
174,26034,51164
175,26034,51201
176,26049,51057
177,26050,51250
178,26051,51298
179,26051,51136
180,26055,51317
181,26068,51259
182,26075,51084
183,26077,51167
184,26078,51223
185,26079,51362
186,26084,51148
187,26100,51162
188,26109,51245
189,26117,51217
190,26124,51170
191,26124,51223
192,26134,51217
193,26134,51300
194,26151,51109
