x_i,y_i,x_j,y_j
11004,42103,11109,42374
11109,42374,11004,42103
11134,42886,11184,42934
11156,42713,11134,42886
11184,42934,11156,42713
11298,42854,11311,42930
11311,42930,11298,42854
11417,42984,11424,43001
11424,43001,11417,42984
11439,42058,11512,42107
11462,43253,11486,43188
11486,43188,11462,43253
11504,42856,11523,42842
11512,42107,11439,42058
11523,42842,11504,42856
11570,43137,11584,43150
11584,43150,11570,43137
11595,43149,11600,43150
11600,43150,11595,43149
11691,42687,11771,42652
11716,41837,12059,42196
11752,42815,11786,42885
11771,42652,11691,42687
11786,42885,11752,42815
11823,42674,11847,42661
11847,42661,11823,42674
11964,43291,11974,43027
11974,43027,11964,43291
12059,42196,11716,41837
12150,42478,12300,42434
12287,43356,12387,43335
12300,42434,12150,42478
12356,43157,12364,43190
12364,43190,12356,43157
12373,42712,12645,42974
12387,43335,12287,43356
12422,42896,12373,42712
12645,42974,12422,42896
