x_i,y_i,x_j,y_j
20834,17100,20900,17067
20900,17067,23617,15867
21300,13017,21600,14150
21600,14150,22584,14300
21600,14967,21600,16500
21600,16500,20834,17100
22184,13134,22684,12717
22584,14300,21600,14967
22684,12717,21300,13017
23617,15867,23700,15934
23700,15934,23884,14534
23884,14534,24167,13250
24167,13250,26134,14500
25150,12366,22184,13134
26134,14500,26550,13850
26150,10550,27167,9834
26284,12767,27027,13052
26434,13434,26284,12767
26550,13850,26434,13434
26734,11684,25150,12366
27027,13052,27097,13416
27097,13416,27154,13204
27154,13204,27463,12993
27167,9834,27234,10450
27234,10450,27267,10384
27234,11784,26150,10550
27267,10384,26734,11684
27434,12400,27234,11784
27463,12993,27434,12400
