id,x,y
1,24050,123784
2,24217,123934
3,24234,123950
4,24234,124017
5,24250,123867
6,24300,123684
7,24317,123900
8,24317,124084
9,24334,123734
10,24334,123984
11,24334,124150
12,24334,124200
13,24350,123734
14,24350,123750
15,24350,124217
16,24350,124234
17,24384,123750
18,24384,124150
19,24400,123834
20,24417,123767
21,24417,124250
22,24434,122984
23,24450,122934
24,24450,124134
25,24450,124184
26,24467,123000
27,24500,124284
28,24584,124317
29,24667,124700
30,24717,125334
31,24734,125284
32,24734,125317
33,24734,125350
34,24734,125400
35,24734,125417
36,24750,125267
37,24750,125284
38,24767,125367
39,24784,125267
40,24784,125300
41,24784,141317
42,24784,141334
43,24800,125167
44,24800,125284
45,24800,141300
46,24800,141317
47,24800,141334
48,24817,125167
49,24817,125300
50,24834,125167
51,24834,125217
52,24850,125300
53,24867,125300
54,24900,125284
55,25450,141284
56,25450,141300
57,25834,131234
58,25850,131250
59,25934,131300
60,25950,131300
61,26084,127667
62,26093,127664
63,26095,127698
64,26095,127704
65,26095,127720
66,26096,127685
67,26096,127687
68,26100,127667
69,26100,127700
70,26105,127668
71,26105,127692
72,26108,127665
73,26114,127729
74,26117,127677
75,26117,127675
76,26117,127734
77,26117,127784
78,26119,127697
79,26122,127683
80,26124,127745
81,26130,127693
82,26130,127672
83,26131,127679
84,26131,127773
85,26134,127667
86,26134,127750
87,26134,127767
88,26134,127784
89,26134,127727
90,26134,127769
91,26137,127698
92,26138,127784
93,26139,127716
94,26140,127778
95,26143,127765
96,26143,127793
97,26144,127687
98,26146,127748
99,26146,127765
100,26149,127733
101,26150,127700
102,26150,127750
103,26151,127709
104,26151,127795
105,26152,127721
106,26152,127803
107,26154,127761
108,26155,127755
109,26155,127776
110,26156,127805
111,26158,127887
112,26160,127677
113,26161,127722
114,26161,127815
115,26161,127736
116,26164,127693
117,26167,127650
118,26167,127667
119,26167,127684
120,26167,127717
121,26167,127750
122,26167,127784
123,26167,127800
124,26168,127789
125,26169,127801
126,26170,127719
127,26171,127821
128,26172,127773
129,26174,127345
130,26174,127766
131,26174,127680
132,26174,127731
133,26174,127714
134,26176,127793
135,26177,127802
136,26179,127696
137,26179,127823
138,26180,127292
139,26180,127707
140,26182,127743
141,26183,127751
142,26184,127350
143,26184,127634
144,26184,127667
145,26184,127750
146,26184,127767
147,26184,127800
148,26184,127819
149,26185,127775
150,26185,127760
151,26186,127725
152,26186,127727
153,26186,127730
154,26187,127659
155,26187,127660
156,26187,127681
157,26189,127714
158,26191,127661
159,26192,127279
160,26194,127695
161,26196,127755
162,26196,127769
163,26197,127727
164,26199,127699
165,26199,127365
166,26200,127450
167,26200,127650
168,26200,127667
169,26202,127685
170,26202,127745
171,26203,127757
172,26205,127690
173,26206,127743
174,26207,127708
175,26213,127678
176,26214,127697
177,26216,127759
178,26217,127317
179,26217,127667
180,26217,127700
181,26217,127717
182,26217,127767
183,26217,127784
184,26218,127675
185,26218,127685
186,26219,127671
187,26220,127753
188,26220,127762
189,26224,127689
190,26224,127719
191,26225,127754
192,26228,127294
193,26230,127302
194,26231,127729
195,26234,127317
196,26234,127684
197,26234,127700
198,26234,127784
199,26234,127744
200,26236,127683
201,26237,127715
202,26239,127311
203,26240,127775
204,26240,127736
205,26241,127745
206,26243,127753
207,26246,127710
208,26248,127937
209,26248,127699
210,26248,127771
211,26249,127785
212,26249,127726
213,26250,127700
214,26250,127717
215,26250,127734
216,26250,127750
217,26253,127745
218,26256,127784
219,26258,127711
220,26259,127791
221,26265,127791
222,26267,127717
223,26267,127734
224,26267,127767
225,26270,127794
226,26270,127785
227,26273,127799
228,26275,127802
229,26279,127806
230,26280,127811
231,26284,126800
232,26284,127750
233,26284,127767
234,26285,127780
235,26290,127778
236,26293,127794
237,26296,127789
238,26297,127808
239,26300,127767
240,26300,127784
241,26304,127795
242,26304,127810
243,26308,127915
244,26309,126804
245,26310,127787
246,26312,127812
247,26314,127910
248,26315,127817
249,26316,127773
250,26317,126784
251,26317,126800
252,26317,127750
253,26317,127767
254,26317,127800
255,26317,127867
256,26319,127799
257,26320,127836
258,26321,127786
259,26324,127907
260,26324,127965
261,26325,127891
262,26325,127822
263,26326,127953
264,26327,127890
265,26329,127793
266,26330,127885
267,26332,127818
268,26332,127801
269,26334,126734
270,26334,126750
271,26334,126767
272,26334,126784
273,26334,126800
274,26334,127750
275,26334,127784
276,26334,127800
277,26334,127867
278,26335,126768
279,26335,127804
280,26335,127811
281,26336,127882
282,26338,127803
283,26338,127832
284,26339,127801
285,26339,127818
286,26340,127788
287,26340,127827
288,26340,127876
289,26341,126800
290,26342,126805
291,26343,127848
292,26343,127954
293,26344,127868
294,26345,126754
295,26349,126745
296,26349,127846
297,26350,127812
298,26350,126750
299,26350,126817
300,26350,127734
301,26350,127750
302,26350,127767
303,26350,127784
304,26350,127800
305,26350,127867
306,26352,127830
307,26353,127866
308,26354,127835
309,26354,126807
310,26356,126743
311,26358,127972
312,26358,127870
313,26358,126719
314,26360,127814
315,26364,126744
316,26365,127815
317,26366,127766
318,26367,126717
319,26367,126734
320,26367,126750
321,26367,126767
322,26367,126784
323,26367,126800
324,26367,127734
325,26367,127750
326,26367,127767
327,26367,127784
328,26367,127817
329,26367,127834
330,26367,127867
331,26367,127984
332,26368,127850
333,26368,127864
334,26369,127984
335,26372,127141
336,26373,127833
337,26374,127852
338,26375,127985
339,26383,127871
340,26384,126767
341,26384,126772
342,26384,126784
343,26384,127717
344,26384,127734
345,26384,127750
346,26384,127767
347,26385,127841
348,26385,127995
349,26389,127858
350,26393,127834
351,26398,127845
352,26400,127734
353,26400,127750
354,26400,127767
355,26400,127800
356,26400,127817
357,26409,127830
358,26417,127717
359,26417,127734
360,26417,127750
361,26417,127784
362,26420,127820
363,26428,127825
364,26428,127825
365,26434,127767
366,26434,127778
367,26437,127765
368,26439,127802
369,26450,127805
370,26453,127852
371,26454,127919
372,26455,127809
373,26458,127880
374,26467,127826
375,26467,127950
376,26467,127984
377,26477,127959
